iteration,current_obj,best_obj,temperature,destroy_op,repair_op,outcome,coverage_pct
0,591545214.9038923,591545214.9038923,5903621.244740845,spatial,greedy,rejected,99.0909090909091
1,591545214.9038923,591545214.9038923,5891814.002251363,random,greedy,rejected,100.0
2,591545214.9038923,591545214.9038923,5880030.374246861,random,regret,rejected,100.0
3,591545214.9038923,591545214.9038923,5868270.313498368,random,regret,rejected,100.0
4,591545214.9038923,591545214.9038923,5856533.77287137,worst,greedy,rejected,99.0909090909091
5,591545214.9038923,591545214.9038923,5844820.705325628,spatial,greedy,rejected,96.36363636363636
6,591545214.9038923,591545214.9038923,5833131.063914976,time_window,risk_priority,rejected,100.0
7,591545214.9038923,591545214.9038923,5821464.801787146,worst,regret,rejected,100.0
8,591545214.9038923,591545214.9038923,5809821.8721835725,spatial,risk_priority,rejected,96.36363636363636
9,591545214.9038923,591545214.9038923,5798202.228439205,spatial,greedy,rejected,96.36363636363636
10,591545214.9038923,591545214.9038923,5786605.823982327,spatial,greedy,rejected,98.18181818181819
11,591545214.9038923,591545214.9038923,5775032.612334362,time_window,greedy,accepted_worse,100.0
12,591545214.9038923,591545214.9038923,5763482.547109693,spatial,regret,rejected,100.0
13,591545214.9038923,591545214.9038923,5751955.582015474,spatial,regret,rejected,100.0
14,591545214.9038923,591545214.9038923,5740451.670851443,time_window,regret,rejected,100.0
15,591545214.9038923,591545214.9038923,5728970.76750974,worst,risk_priority,rejected,94.54545454545455
16,591545214.9038923,591545214.9038923,5717512.8259747205,random,regret,rejected,99.0909090909091
17,591545214.9038923,591545214.9038923,5706077.800322771,worst,random,rejected,100.0
18,591545214.9038923,591545214.9038923,5694665.6447221255,random,random,rejected,100.0
19,591545214.9038923,591545214.9038923,5683276.313432681,time_window,greedy,accepted_worse,100.0
20,591545214.9038923,591545214.9038923,5671909.760805816,random,regret,rejected,100.0
21,591545214.9038923,591545214.9038923,5660565.941284205,time_window,greedy,accepted_worse,100.0
22,591545214.9038923,591545214.9038923,5649244.809401636,worst,risk_priority,rejected,97.27272727272727
23,591545214.9038923,591545214.9038923,5637946.319782833,spatial,regret,rejected,99.0909090909091
24,591545214.9038923,591545214.9038923,5626670.427143267,worst,risk_priority,rejected,97.27272727272727
25,591545214.9038923,591545214.9038923,5615417.086288981,worst,risk_priority,rejected,99.0909090909091
26,591545214.9038923,591545214.9038923,5604186.252116404,worst,regret,rejected,98.18181818181819
27,591545214.9038923,591545214.9038923,5592977.879612171,spatial,greedy,rejected,100.0
28,591545214.9038923,591545214.9038923,5581791.923852947,random,risk_priority,rejected,98.18181818181819
29,591545214.9038923,591545214.9038923,5570628.34000524,spatial,greedy,rejected,97.27272727272727
30,591545214.9038923,591545214.9038923,5559487.08332523,spatial,random,rejected,100.0
31,591545214.9038923,591545214.9038923,5548368.109158579,worst,random,rejected,100.0
32,591545214.9038923,591545214.9038923,5537271.372940262,worst,greedy,rejected,100.0
33,591545214.9038923,591545214.9038923,5526196.830194381,time_window,risk_priority,rejected,100.0
34,591545214.9038923,591545214.9038923,5515144.436533992,random,regret,rejected,100.0
35,591545214.9038923,591545214.9038923,5504114.147660924,random,risk_priority,rejected,99.0909090909091
36,591545214.9038923,591545214.9038923,5493105.919365603,spatial,risk_priority,rejected,97.27272727272727
37,591545214.9038923,591545214.9038923,5482119.707526871,random,greedy,rejected,100.0
38,591545214.9038923,591545214.9038923,5471155.468111817,random,greedy,rejected,100.0
39,591545214.9038923,591545214.9038923,5460213.157175593,random,risk_priority,rejected,100.0
40,591545214.9038923,591545214.9038923,5449292.730861242,time_window,greedy,rejected,97.27272727272727
41,591545214.9038923,591545214.9038923,5438394.145399519,time_window,greedy,rejected,100.0
42,591545214.9038923,591545214.9038923,5427517.357108721,worst,regret,rejected,99.0909090909091
43,591545214.9038923,591545214.9038923,5416662.322394503,worst,random,rejected,100.0
44,591545214.9038923,591545214.9038923,5405828.997749714,spatial,risk_priority,rejected,96.36363636363636
45,591545214.9038923,591545214.9038923,5395017.3397542145,worst,regret,rejected,99.0909090909091
46,591545214.9038923,591545214.9038923,5384227.305074706,random,random,rejected,100.0
47,591545214.9038923,591545214.9038923,5373458.850464556,random,regret,rejected,100.0
48,591545214.9038923,591545214.9038923,5362711.932763627,spatial,greedy,rejected,98.18181818181819
49,591545214.9038923,591545214.9038923,5351986.5088981,random,risk_priority,rejected,98.18181818181819
50,591545214.9038923,591545214.9038923,5341282.535880304,spatial,regret,rejected,100.0
51,591545214.9038923,591545214.9038923,5330599.970808543,random,greedy,rejected,99.0909090909091
52,591545214.9038923,591545214.9038923,5319938.770866926,spatial,risk_priority,rejected,93.63636363636364
53,591545214.9038923,591545214.9038923,5309298.893325192,worst,risk_priority,rejected,95.45454545454545
54,591545214.9038923,591545214.9038923,5298680.295538542,random,regret,rejected,100.0
55,591545214.9038923,591545214.9038923,5288082.934947465,spatial,regret,rejected,100.0
56,591545214.9038923,591545214.9038923,5277506.769077569,spatial,greedy,rejected,100.0
57,591545214.9038923,591545214.9038923,5266951.7555394145,time_window,regret,rejected,100.0
58,591545214.9038923,591545214.9038923,5256417.852028335,random,risk_priority,rejected,100.0
59,591545214.9038923,591545214.9038923,5245905.016324279,random,greedy,rejected,99.0909090909091
60,591545214.9038923,591545214.9038923,5235413.20629163,time_window,greedy,accepted_worse,100.0
61,591545214.9038923,591545214.9038923,5224942.379879046,worst,random,rejected,100.0
62,591545214.9038923,591545214.9038923,5214492.495119289,spatial,greedy,rejected,100.0
63,591545214.9038923,591545214.9038923,5204063.51012905,spatial,greedy,rejected,96.36363636363636
64,591545214.9038923,591545214.9038923,5193655.383108792,worst,risk_priority,rejected,97.27272727272727
65,591545214.9038923,591545214.9038923,5183268.072342575,worst,regret,rejected,97.27272727272727
66,591545214.9038923,591545214.9038923,5172901.53619789,worst,regret,rejected,100.0
67,591545214.9038923,591545214.9038923,5162555.733125494,spatial,random,rejected,100.0
68,591545214.9038923,591545214.9038923,5152230.621659243,time_window,greedy,rejected,100.0
69,591545214.9038923,591545214.9038923,5141926.160415924,time_window,random,rejected,100.0
70,591545214.9038923,591545214.9038923,5131642.308095092,worst,risk_priority,rejected,97.27272727272727
71,591545214.9038923,591545214.9038923,5121379.023478902,spatial,regret,rejected,100.0
72,591545214.9038923,591545214.9038923,5111136.265431944,time_window,greedy,rejected,100.0
73,591545214.9038923,591545214.9038923,5100913.99290108,time_window,random,rejected,100.0
74,591545214.9038923,591545214.9038923,5090712.164915279,random,regret,rejected,100.0
75,591545214.9038923,591545214.9038923,5080530.740585448,spatial,random,rejected,100.0
76,591545214.9038923,591545214.9038923,5070369.679104277,time_window,random,rejected,100.0
77,599758266.4102083,591545214.9038923,5060228.939746069,random,risk_priority,accepted_worse,100.0
78,541531428.0533464,541531428.0533464,5050108.481866577,time_window,risk_priority,new_best,100.0
79,541531428.0533464,541531428.0533464,5040008.264902843,spatial,risk_priority,rejected,98.18181818181819
80,541531428.0533464,541531428.0533464,5029928.248373037,random,risk_priority,rejected,100.0
81,541531428.0533464,541531428.0533464,5019868.3918762915,time_window,greedy,rejected,99.0909090909091
82,541531428.0533464,541531428.0533464,5009828.655092539,worst,risk_priority,rejected,95.45454545454545
83,541531428.0533464,541531428.0533464,4999808.997782354,spatial,random,rejected,100.0
84,536729812.2722951,536729812.2722951,4989809.379786789,time_window,risk_priority,new_best,100.0
85,536729812.2722951,536729812.2722951,4979829.761027216,worst,random,rejected,100.0
86,536729812.2722951,536729812.2722951,4969870.101505161,worst,greedy,rejected,97.27272727272727
87,536729812.2722951,536729812.2722951,4959930.361302151,worst,greedy,rejected,98.18181818181819
