zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S1,D1,1,1,10,H3131,7.45,199.56521739130432
S1,D1,1,2,20,H2633,7.75,191.7391304347826
S1,D1,1,3,30,H2813,6.25,230.86956521739128
S1,D1,1,4,40,H3335,8.2,180.0
S1,D1,1,5,50,H2819,8.2,180.0
S1,D1,1,6,60,H2825,8.2,180.0
S1,D1,1,8,80,H3371,5.8,242.6086956521739
S1,D1,1,10,100,H2951,6.25,230.86956521739128
S1,D1,2,1,130,H2741,8.2,180.0
S1,D1,2,2,140,H2741,8.2,180.0
S1,D1,2,3,150,H2825,8.2,180.0
S1,D1,2,4,160,H2819,8.2,180.0
S1,D1,2,5,170,H2741,8.2,180.0
S1,D1,2,6,180,H2819,8.2,180.0
S1,D1,2,7,190,H2741,8.2,180.0
S1,D1,2,8,200,H2825,8.2,180.0
S1,D1,2,9,210,H2819,8.2,180.0
S1,D1,2,11,230,H2717,6.25,230.86956521739128
S1,D1,3,1,250,H2513,7.75,191.7391304347826
S1,D1,3,2,260,H2615,7.0,211.30434782608694
S1,D1,3,4,280,H3047,6.25,230.86956521739128
S1,D1,3,5,290,H2627,6.55,223.04347826086956
S1,D1,3,6,300,H2819,8.2,180.0
S1,D1,3,7,310,H2333,5.05,262.17391304347825
S1,D1,3,8,320,H3233,7.75,191.7391304347826
S1,D1,3,9,330,H3443,5.05,262.17391304347825
S1,D1,3,10,340,H2537,7.75,191.7391304347826
S1,D1,4,2,380,H2957,5.8,242.6086956521739
S1,D1,4,4,400,H3371,5.8,242.6086956521739
S1,D1,4,8,440,H2615,7.0,211.30434782608694
S1,D1,4,10,460,H2933,6.55,223.04347826086956
S1,D1,5,1,490,H2741,8.2,180.0
S1,D1,5,3,510,H2723,8.2,180.0
S1,D1,5,6,540,H2537,7.75,191.7391304347826
S1,D1,5,7,550,H2537,7.75,191.7391304347826
S1,D1,5,8,560,H2951,6.25,230.86956521739128
S1,D1,5,9,570,H2717,6.25,230.86956521739128
S1,D1,6,1,610,H3047,6.25,230.86956521739128
S1,D1,6,5,650,H2309,6.1,234.78260869565216
S1,D1,6,7,670,H2951,6.25,230.86956521739128
S1,D1,6,8,680,H2741,8.2,180.0
S1,D1,6,10,700,H2825,8.2,180.0
S1,D1,7,1,730,H2843,5.8,242.6086956521739
S1,D1,7,3,750,H2723,8.2,180.0
S1,D1,7,5,770,H2723,8.2,180.0
S1,D1,7,6,780,H3335,8.2,180.0
S1,D1,7,7,790,H2933,6.55,223.04347826086956
S1,D1,7,9,810,H2819,8.2,180.0
S1,D1,8,1,850,H3029,5.5,250.43478260869563
S1,D1,8,3,870,H2627,6.55,223.04347826086956
S1,D1,8,5,890,H3341,6.55,223.04347826086956
S1,D1,8,6,900,H3335,8.2,180.0
S1,D1,8,9,930,H2513,7.75,191.7391304347826
S1,D1,9,1,970,H2825,8.2,180.0
S1,D1,9,3,990,H3149,5.8,242.6086956521739
S1,D1,9,6,1020,H2723,8.2,180.0
S1,D1,9,7,1030,H2543,4.3,281.7391304347826
S1,D1,9,8,1040,H2933,6.55,223.04347826086956
S1,D1,9,10,1060,H2537,7.75,191.7391304347826
S1,D1,10,6,1140,H2309,6.1,234.78260869565216
S1,D1,10,8,1160,H3335,8.2,180.0
S1,D1,10,10,1180,H2825,8.2,180.0
S1,D1,11,4,1240,H3257,3.25,309.1304347826087
S1,D1,11,6,1260,H2843,5.8,242.6086956521739
S1,D1,11,8,1280,H2609,5.05,262.17391304347825
S1,D1,12,8,1400,H2927,5.5,250.43478260869563
S1,D1,12,10,1420,H2753,4.9,266.0869565217391
S1,D2,1,1,10,H3341,6.55,223.04347826086956
S1,D2,1,2,20,H2513,7.75,191.7391304347826
S1,D2,1,3,30,H3017,5.5,250.43478260869563
S1,D2,1,4,40,H2537,7.75,191.7391304347826
S1,D2,1,5,50,H2723,8.2,180.0
S1,D2,1,6,60,H3341,6.55,223.04347826086956
S1,D2,1,8,80,H2519,5.5,250.43478260869563
S1,D2,1,10,100,H2813,6.25,230.86956521739128
S1,D2,2,1,130,H3335,8.2,180.0
S1,D2,2,2,140,H2615,7.0,211.30434782608694
S1,D2,2,3,150,H2741,8.2,180.0
S1,D2,2,4,160,H3335,8.2,180.0
S1,D2,2,5,170,H2825,8.2,180.0
S1,D2,2,6,180,H2825,8.2,180.0
S1,D2,2,7,190,H2723,8.2,180.0
S1,D2,2,8,200,H2633,7.75,191.7391304347826
S1,D2,2,9,210,H2723,8.2,180.0
S1,D2,2,11,230,H3431,6.25,230.86956521739128
S1,D2,3,1,250,H3233,7.75,191.7391304347826
S1,D2,3,3,270,H3341,6.55,223.04347826086956
S1,D2,3,5,290,H2927,5.5,250.43478260869563
S1,D2,3,8,320,H3047,6.25,230.86956521739128
S1,D2,3,10,340,H2627,6.55,223.04347826086956
S1,D2,3,11,350,H2639,5.8,242.6086956521739
S1,D2,4,8,440,H2849,5.8,242.6086956521739
S1,D2,4,10,460,H3149,5.8,242.6086956521739
S1,D2,5,1,490,H2615,7.0,211.30434782608694
S1,D2,5,3,510,H2831,5.05,262.17391304347825
S1,D2,5,4,520,H2723,8.2,180.0
S1,D2,5,5,530,H2819,8.2,180.0
