iteration,current_obj,best_obj,temperature,destroy_op,repair_op,outcome,duration_s,coverage_pct
0,4405743308.588804,4405743308.588804,46569033.224545434,spatial,greedy,new_best,0.08373641967773438,89.11764705882354
1,4405743308.588804,4405743308.588804,46475895.15809634,random,greedy,accepted_worse,0.04885983467102051,89.11764705882354
2,4405743308.588804,4405743308.588804,46382943.36778015,random,greedy,accepted_worse,0.03137683868408203,89.11764705882354
3,4405743308.588804,4405743308.588804,46290177.48104459,worst,random,rejected,0.04161858558654785,100.0
4,3683229201.1978693,3683229201.1978693,46197597.1260825,random,regret,new_best,3.9635212421417236,100.0
5,3683229201.1978693,3683229201.1978693,46105201.93183034,spatial,greedy,accepted_worse,0.05227327346801758,100.0
6,3683229201.1978693,3683229201.1978693,46012991.52796668,time_window,regret,rejected,0.7006793022155762,100.0
7,3673475336.808166,3673475336.808166,45920965.544910744,time_window,risk_priority,new_best,0.057019710540771484,100.0
8,3670895661.004685,3670895661.004685,45829123.613820925,time_window,risk_priority,new_best,0.055886030197143555,95.58823529411765
9,3670895661.004685,3670895661.004685,45737465.36659329,worst,risk_priority,rejected,0.05918598175048828,85.88235294117646
10,3670895661.004685,3670895661.004685,45645990.4358601,random,risk_priority,rejected,0.03428816795349121,91.47058823529412
11,3566781862.9845448,3566781862.9845448,45554698.454988375,spatial,greedy,new_best,0.05260062217712402,96.47058823529412
12,3566781862.9845448,3566781862.9845448,45463589.0580784,random,risk_priority,rejected,0.0420222282409668,93.82352941176471
13,3547356232.728804,3547356232.728804,45372661.87996224,random,regret,new_best,2.738830804824829,100.0
14,3547356232.728804,3547356232.728804,45281916.55620232,spatial,random,rejected,0.04542875289916992,100.0
15,3547356232.728804,3547356232.728804,45191352.72308992,time_window,risk_priority,rejected,0.03692317008972168,99.11764705882354
16,3287291873.566773,3287291873.566773,45100970.01764374,time_window,regret,new_best,0.711876392364502,99.70588235294117
17,3287291873.566773,3287291873.566773,45010768.07760845,time_window,regret,rejected,0.9063968658447266,99.70588235294117
