blok,saat_baslangic,saat_bitis,obj,gap_pct,runtime_s,hareket_say,denetim_say,sarj_say,toplam_slack_dk,risk_agirlikli_slack,ziyaret_odulu,peak_S1,peak_S2,peak_S3
1,0,2,-1653.0012352134172,0.00012315501488027633,8.795000076293945,12,60,0,0.0,0.0,360.0,0,0,0
2,2,4,-1425.9201634327608,11.04835336726893,15.138999938964844,12,52,6,0.0,0.0,312.4,1,2,2
3,4,6,78342.04009160807,85.9168381694269,300.0590000152588,35,30,6,1690.0,7898.928571428571,150.3,2,2,2
4,6,8,96497.19904386307,13.134701665857326,143.67499995231628,27,33,6,2430.0,9722.785714285714,167.4,2,2,2
5,8,10,-1029.6547445985507,16.56220130288742,300.1029999256134,25,40,6,0.0,0.0,228.25,2,2,2
6,10,12,364.0469270197543,62.9214015690565,300.0769999027252,26,39,6,25.714285714285715,126.64285714285714,202.65,2,2,2
7,12,14,3310.9129002964755,115.7075675118794,300.1009998321533,35,31,6,74.28571428571428,396.99999999999994,152.2,2,2,2
8,14,16,528.1603643251818,40.66993705163061,300.07800006866455,25,39,6,28.57142857142857,146.42857142857144,209.4,2,2,2
9,16,18,398.3195031828508,50.38891037110807,300.05599999427795,26,38,7,27.142857142857142,133.21428571428572,210.04999999999998,2,2,2
10,18,20,8576.633171357695,14.783309751545037,133.64800000190735,32,32,6,210.0,926.3571428571429,157.55,2,2,2
11,20,22,2864.678090159196,14.207560744094968,163.33399987220764,30,33,6,58.57142857142857,360.5,168.15,2,2,2
12,22,24,1392.1629523639035,22.917032040516588,300.0569999217987,21,18,22,40.0,182.71428571428572,100.6500003350864,2,2,2
