blok,saat_baslangic,saat_bitis,obj,gap_pct,runtime_s,hareket_say,denetim_say,sarj_say,toplam_slack_dk,risk_agirlikli_slack,ziyaret_odulu,peak_S1,peak_S2,peak_S3
1,0,2,-2893.7157375083702,0.0,148.80299997329712,18,90,0,0.0,0.0,622.5,0,0,0
2,2,4,-2341.8667617140227,19.058738683693626,187.92899990081787,18,74,6,0.0,0.0,508.25000515668916,1,2,3
3,4,6,761268.5392969149,97.91888234353527,600.1269998550415,46,49,9,14979.473684210529,76244.76315789475,270.09999999999997,3,3,2
4,6,8,3043513.344036687,70.96343763856723,600.143000125885,38,45,7,68324.73684210284,304450.0789473576,230.7,3,1,2
5,8,10,3683788.181484961,65.00686923575209,600.1440000534058,36,47,8,85893.6842105262,368483.5789473676,243.5,1,3,3
6,10,12,3619988.7601217586,64.01009759257548,600.1749999523163,38,39,8,82345.7894736821,362087.2631578841,208.35,1,3,3
7,12,14,3323046.7866631635,63.22262543800736,600.1450002193451,39,49,9,70881.05263157895,332407.15789473685,240.4,3,3,3
8,14,16,3024860.8554610303,62.47509982521222,600.1449999809265,45,49,9,63697.89473684187,302600.05263157765,264.25,2,3,3
9,16,18,2700954.497341548,65.743679591026,600.1609997749329,41,45,9,56765.78947368421,270191.0789473684,223.95,3,3,3
10,18,20,2392333.9689272745,64.11470058735198,600.170000076294,39,46,8,48386.84210526303,239332.26315789425,233.04999999999998,2,2,3
11,20,22,2912707.6766957236,70.54076236263961,600.2969999313354,31,52,11,61878.421051853016,291404.3157856587,303.5500000008478,2,3,3
12,22,24,3943494.1062324364,62.82516943879115,600.1979999542236,32,23,26,82750.52631267495,394393.99998473853,111.8,3,3,3
