dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
D1,1,1,10,H2447,5.8,222.85714285714286
D1,1,2,20,H2447,5.8,222.85714285714286
D1,1,3,30,H2447,5.8,222.85714285714286
D1,1,4,40,H2447,5.8,222.85714285714286
D1,1,5,50,H2447,5.8,222.85714285714286
D1,1,6,60,H2447,5.8,222.85714285714286
D1,1,7,70,H2447,5.8,222.85714285714286
D1,1,8,80,H2447,5.8,222.85714285714286
D1,1,9,90,H2447,5.8,222.85714285714286
D1,1,10,100,H2447,5.8,222.85714285714286
D2,1,1,10,H2849,5.8,222.85714285714286
D2,1,2,20,H2849,5.8,222.85714285714286
D2,1,3,30,H2849,5.8,222.85714285714286
D2,1,4,40,H2849,5.8,222.85714285714286
D2,1,5,50,H2849,5.8,222.85714285714286
D2,1,6,60,H2849,5.8,222.85714285714286
D2,1,7,70,H2849,5.8,222.85714285714286
D2,1,8,80,H2849,5.8,222.85714285714286
D2,1,9,90,H2849,5.8,222.85714285714286
D2,1,10,100,H2849,5.8,222.85714285714286
D3,1,1,10,H2465,5.8,222.85714285714286
D3,1,2,20,H2465,5.8,222.85714285714286
D3,1,3,30,H2465,5.8,222.85714285714286
D3,1,4,40,H2465,5.8,222.85714285714286
D3,1,5,50,H2465,5.8,222.85714285714286
D3,1,6,60,H2465,5.8,222.85714285714286
D3,1,7,70,H2465,5.8,222.85714285714286
D3,1,8,80,H2465,5.8,222.85714285714286
D3,1,9,90,H2465,5.8,222.85714285714286
D3,1,10,100,H2465,5.8,222.85714285714286
D4,1,1,10,H2357,5.8,222.85714285714286
D4,1,2,20,H2357,5.8,222.85714285714286
D4,1,3,30,H2357,5.8,222.85714285714286
D4,1,4,40,H2357,5.8,222.85714285714286
D4,1,5,50,H2357,5.8,222.85714285714286
D4,1,6,60,H2357,5.8,222.85714285714286
D4,1,7,70,H2357,5.8,222.85714285714286
D4,1,8,80,H2357,5.8,222.85714285714286
D4,1,9,90,H2357,5.8,222.85714285714286
D4,1,10,100,H2357,5.8,222.85714285714286
D5,1,1,10,H2873,6.25,197.14285714285714
D5,1,2,20,H2873,6.25,197.14285714285714
D5,1,3,30,H2873,6.25,197.14285714285714
D5,1,4,40,H2873,6.25,197.14285714285714
D5,1,5,50,H2873,6.25,197.14285714285714
D5,1,6,60,H2873,6.25,197.14285714285714
D5,1,7,70,H2873,6.25,197.14285714285714
D5,1,8,80,H2873,6.25,197.14285714285714
D5,1,9,90,H2873,6.25,197.14285714285714
D5,1,10,100,H2873,6.25,197.14285714285714
D6,1,1,10,H2573,6.55,180.0
D6,1,2,20,H2573,6.55,180.0
D6,1,3,30,H2573,6.55,180.0
D6,1,4,40,H2573,6.55,180.0
D6,1,5,50,H2573,6.55,180.0
D6,1,6,60,H2573,6.55,180.0
D6,1,7,70,H2573,6.55,180.0
D6,1,8,80,H2573,6.55,180.0
D6,1,9,90,H2573,6.55,180.0
D6,1,10,100,H2573,6.55,180.0
D1,2,4,160,H2849,5.8,222.85714285714286
D1,2,5,170,H2849,5.8,222.85714285714286
D1,2,6,180,H2849,5.8,222.85714285714286
D1,2,7,190,H2849,5.8,222.85714285714286
D1,2,8,200,H2849,5.8,222.85714285714286
D1,2,9,210,H2849,5.8,222.85714285714286
D1,2,10,220,H2849,5.8,222.85714285714286
D2,2,1,130,H2447,5.8,222.85714285714286
D2,2,2,140,H2447,5.8,222.85714285714286
D2,2,3,150,H2447,5.8,222.85714285714286
D2,2,4,160,H2447,5.8,222.85714285714286
D2,2,5,170,H2447,5.8,222.85714285714286
D2,2,6,180,H2447,5.8,222.85714285714286
D2,2,7,190,H2447,5.8,222.85714285714286
D2,2,8,200,H2447,5.8,222.85714285714286
D2,2,9,210,H2447,5.8,222.85714285714286
D3,2,2,140,H2669,5.8,222.85714285714286
D3,2,3,150,H2669,5.8,222.85714285714286
D3,2,4,160,H2669,5.8,222.85714285714286
D3,2,5,170,H2669,5.8,222.85714285714286
D3,2,6,180,H2669,5.8,222.85714285714286
D3,2,7,190,H2669,5.8,222.85714285714286
D3,2,8,200,H2669,5.8,222.85714285714286
D3,2,9,210,H2669,5.8,222.85714285714286
D3,2,10,220,H2669,5.8,222.85714285714286
D4,2,2,140,H2357,5.8,222.85714285714286
D4,2,3,150,H2357,5.8,222.85714285714286
D4,2,4,160,H2357,5.8,222.85714285714286
D4,2,5,170,H2357,5.8,222.85714285714286
D4,2,6,180,H2357,5.8,222.85714285714286
D4,2,7,190,H2357,5.8,222.85714285714286
D4,2,8,200,H2357,5.8,222.85714285714286
D4,2,9,210,H2357,5.8,222.85714285714286
D4,2,10,220,H2357,5.8,222.85714285714286
D5,2,2,140,H2873,6.25,197.14285714285714
D5,2,3,150,H2873,6.25,197.14285714285714
D5,2,4,160,H2873,6.25,197.14285714285714
D5,2,5,170,H2873,6.25,197.14285714285714
D5,2,6,180,H2873,6.25,197.14285714285714
D5,2,7,190,H2873,6.25,197.14285714285714
D5,2,8,200,H2873,6.25,197.14285714285714
D5,2,9,210,H2873,6.25,197.14285714285714
D5,2,10,220,H2873,6.25,197.14285714285714
D6,2,2,140,H2573,6.55,180.0
D6,2,3,150,H2573,6.55,180.0
D6,2,4,160,H2573,6.55,180.0
D6,2,5,170,H2573,6.55,180.0
D6,2,6,180,H2573,6.55,180.0
D6,2,7,190,H2573,6.55,180.0
D6,2,8,200,H2573,6.55,180.0
D6,2,9,210,H2573,6.55,180.0
D6,2,10,220,H2573,6.55,180.0
D1,3,7,310,H2453,4.45,300.0
D1,3,9,330,H2453,4.45,300.0
D1,3,3,270,H2555,4.9,274.2857142857142
D1,3,5,290,H2657,4.75,282.85714285714283
D1,3,1,250,H2759,5.35,248.57142857142858
D2,3,9,330,H2549,4.3,308.57142857142856
D2,3,3,270,H2651,5.2,257.1428571428571
D2,3,7,310,H2753,4.9,274.2857142857142
D2,3,1,250,H2765,5.35,248.57142857142858
D2,3,5,290,H2855,4.9,274.2857142857142
D3,3,7,310,H2147,4.3,308.57142857142856
D3,3,5,290,H2255,4.75,282.85714285714283
D3,3,1,250,H2261,5.35,248.57142857142858
D3,3,9,330,H2357,5.8,222.85714285714286
D3,3,3,270,H2369,5.35,248.57142857142858
D4,3,1,250,H2153,5.65,231.4285714285714
D4,3,3,270,H2159,5.65,231.4285714285714
D4,3,6,300,H2363,5.35,248.57142857142858
D4,3,8,320,H2465,5.8,222.85714285714286
D4,3,9,330,H2465,5.8,222.85714285714286
D5,3,4,280,H2351,4.75,282.85714285714283
D5,3,7,310,H2561,4.45,300.0
D5,3,8,320,H2561,4.45,300.0
D5,3,9,330,H2561,4.45,300.0
D5,3,1,250,H2867,5.35,248.57142857142858
D6,3,9,330,H2339,5.05,265.7142857142857
D6,3,7,310,H2543,4.3,308.57142857142856
D6,3,1,250,H2567,5.35,248.57142857142858
D6,3,3,270,H2663,4.9,274.2857142857142
D6,3,4,280,H2663,4.9,274.2857142857142
D1,4,3,390,H2771,4.3,308.57142857142856
D1,4,1,370,H2861,4.15,317.1428571428571
D1,4,5,410,H2873,6.25,197.14285714285714
D1,4,7,430,H2873,6.25,197.14285714285714
D1,4,9,450,H2873,6.25,197.14285714285714
D2,4,6,420,H2459,3.4,360.0
D2,4,7,430,H2459,3.4,360.0
D2,4,3,390,H2573,6.55,180.0
D2,4,4,400,H2573,6.55,180.0
D2,4,1,370,H2777,4.3,308.57142857142856
D3,4,3,390,H2645,3.85,334.2857142857143
D3,4,1,370,H2747,4.6,291.42857142857144
D3,4,5,410,H2849,5.8,222.85714285714286
D3,4,7,430,H2849,5.8,222.85714285714286
D3,4,9,450,H2849,5.8,222.85714285714286
D4,4,3,390,H2135,3.85,334.2857142857143
D4,4,1,370,H2249,4.3,308.57142857142856
D4,4,5,410,H2345,3.85,334.2857142857143
D4,4,7,430,H2447,5.8,222.85714285714286
D4,4,8,440,H2447,5.8,222.85714285714286
D4,4,9,450,H2447,5.8,222.85714285714286
D5,4,3,390,H2237,3.85,334.2857142857143
D5,4,1,370,H2441,4.3,308.57142857142856
D5,4,6,420,H2669,5.8,222.85714285714286
D5,4,7,430,H2669,5.8,222.85714285714286
D5,4,8,440,H2669,5.8,222.85714285714286
D5,4,9,450,H2669,5.8,222.85714285714286
D6,4,3,390,H2141,3.85,334.2857142857143
D6,4,1,370,H2165,4.3,308.57142857142856
D6,4,5,410,H2243,3.85,334.2857142857143
D6,4,7,430,H2357,5.8,222.85714285714286
D6,4,8,440,H2357,5.8,222.85714285714286
D6,4,9,450,H2357,5.8,222.85714285714286
D1,5,8,560,H2657,4.75,282.85714285714283
D1,5,6,540,H2663,4.9,274.2857142857142
D1,5,1,490,H2765,5.35,248.57142857142858
D1,5,2,500,H2765,5.35,248.57142857142858
D1,5,3,510,H2765,5.35,248.57142857142858
D1,5,4,520,H2765,5.35,248.57142857142858
D2,5,9,570,H2351,4.75,282.85714285714283
D2,5,7,550,H2555,4.9,274.2857142857142
D2,5,5,530,H2651,5.2,257.1428571428571
D2,5,1,490,H2759,5.35,248.57142857142858
D2,5,3,510,H2855,4.9,274.2857142857142
D3,5,9,570,H2255,4.75,282.85714285714283
D3,5,1,490,H2261,5.35,248.57142857142858
D3,5,7,550,H2363,5.35,248.57142857142858
D3,5,3,510,H2369,5.35,248.57142857142858
D3,5,5,530,H2465,5.8,222.85714285714286
D4,5,1,490,H2153,5.65,231.4285714285714
D4,5,3,510,H2159,5.65,231.4285714285714
D4,5,4,520,H2159,5.65,231.4285714285714
D4,5,5,530,H2159,5.65,231.4285714285714
D4,5,6,540,H2159,5.65,231.4285714285714
D4,5,7,550,H2159,5.65,231.4285714285714
D4,5,8,560,H2159,5.65,231.4285714285714
D4,5,9,570,H2159,5.65,231.4285714285714
D5,5,1,490,H2567,5.35,248.57142857142858
D5,5,3,510,H2573,6.55,180.0
D5,5,4,520,H2573,6.55,180.0
D5,5,5,530,H2573,6.55,180.0
D5,5,6,540,H2573,6.55,180.0
D5,5,7,550,H2573,6.55,180.0
D5,5,8,560,H2573,6.55,180.0
D5,5,9,570,H2573,6.55,180.0
D6,5,1,490,H2867,5.35,248.57142857142858
D6,5,3,510,H2873,6.25,197.14285714285714
D6,5,4,520,H2873,6.25,197.14285714285714
D6,5,5,530,H2873,6.25,197.14285714285714
D6,5,6,540,H2873,6.25,197.14285714285714
D6,5,7,550,H2873,6.25,197.14285714285714
D6,5,8,560,H2873,6.25,197.14285714285714
D6,5,9,570,H2873,6.25,197.14285714285714
D1,6,5,650,H2441,4.3,308.57142857142856
D1,6,7,670,H2441,4.3,308.57142857142856
