dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
D1,1,1,10,H2633,7.75,194.21052631578945
D1,1,2,20,H2633,7.75,194.21052631578945
D1,1,3,30,H2633,7.75,194.21052631578945
D1,1,4,40,H2633,7.75,194.21052631578945
D1,1,5,50,H2633,7.75,194.21052631578945
D1,1,6,60,H2633,7.75,194.21052631578945
D1,1,7,70,H2633,7.75,194.21052631578945
D1,1,8,80,H2633,7.75,194.21052631578945
D1,1,9,90,H2633,7.75,194.21052631578945
D1,1,10,100,H2633,7.75,194.21052631578945
D2,1,1,10,H2741,8.2,180.0
D2,1,2,20,H2741,8.2,180.0
D2,1,3,30,H2741,8.2,180.0
D2,1,4,40,H2741,8.2,180.0
D2,1,5,50,H2741,8.2,180.0
D2,1,6,60,H2741,8.2,180.0
D2,1,7,70,H2741,8.2,180.0
D2,1,8,80,H2741,8.2,180.0
D2,1,9,90,H2741,8.2,180.0
D2,1,10,100,H2741,8.2,180.0
D3,1,1,10,H2537,7.75,194.21052631578945
D3,1,2,20,H2537,7.75,194.21052631578945
D3,1,3,30,H2537,7.75,194.21052631578945
D3,1,4,40,H2537,7.75,194.21052631578945
D3,1,5,50,H2537,7.75,194.21052631578945
D3,1,6,60,H2537,7.75,194.21052631578945
D3,1,7,70,H2537,7.75,194.21052631578945
D3,1,8,80,H2537,7.75,194.21052631578945
D3,1,9,90,H2537,7.75,194.21052631578945
D3,1,10,100,H2537,7.75,194.21052631578945
D4,1,1,10,H1931,6.7,227.36842105263156
D4,1,2,20,H1931,6.7,227.36842105263156
D4,1,3,30,H1931,6.7,227.36842105263156
D4,1,4,40,H1931,6.7,227.36842105263156
D4,1,5,50,H1931,6.7,227.36842105263156
D4,1,6,60,H1931,6.7,227.36842105263156
D4,1,7,70,H1931,6.7,227.36842105263156
D4,1,8,80,H1931,6.7,227.36842105263156
D4,1,9,90,H1931,6.7,227.36842105263156
D4,1,10,100,H1931,6.7,227.36842105263156
D5,1,1,10,H1937,6.25,241.57894736842104
D5,1,2,20,H1937,6.25,241.57894736842104
D5,1,3,30,H1937,6.25,241.57894736842104
D5,1,4,40,H1937,6.25,241.57894736842104
D5,1,5,50,H1937,6.25,241.57894736842104
D5,1,6,60,H1937,6.25,241.57894736842104
D5,1,7,70,H1937,6.25,241.57894736842104
D5,1,8,80,H1937,6.25,241.57894736842104
D5,1,9,90,H1937,6.25,241.57894736842104
D5,1,10,100,H1937,6.25,241.57894736842104
D6,1,1,10,H2033,6.25,241.57894736842104
D6,1,2,20,H2033,6.25,241.57894736842104
D6,1,3,30,H2033,6.25,241.57894736842104
D6,1,4,40,H2033,6.25,241.57894736842104
D6,1,5,50,H2033,6.25,241.57894736842104
D6,1,6,60,H2033,6.25,241.57894736842104
D6,1,7,70,H2033,6.25,241.57894736842104
D6,1,8,80,H2033,6.25,241.57894736842104
D6,1,9,90,H2033,6.25,241.57894736842104
D6,1,10,100,H2033,6.25,241.57894736842104
D7,1,1,10,H2675,6.55,232.10526315789474
D7,1,2,20,H2675,6.55,232.10526315789474
D7,1,3,30,H2675,6.55,232.10526315789474
D7,1,4,40,H2675,6.55,232.10526315789474
D7,1,5,50,H2675,6.55,232.10526315789474
D7,1,6,60,H2675,6.55,232.10526315789474
D7,1,7,70,H2675,6.55,232.10526315789474
D7,1,8,80,H2675,6.55,232.10526315789474
D7,1,9,90,H2675,6.55,232.10526315789474
D7,1,10,100,H2675,6.55,232.10526315789474
D8,1,1,10,H2573,6.55,232.10526315789474
D8,1,2,20,H2573,6.55,232.10526315789474
D8,1,3,30,H2573,6.55,232.10526315789474
D8,1,4,40,H2573,6.55,232.10526315789474
D8,1,5,50,H2573,6.55,232.10526315789474
D8,1,6,60,H2573,6.55,232.10526315789474
D8,1,7,70,H2573,6.55,232.10526315789474
D8,1,8,80,H2573,6.55,232.10526315789474
D8,1,9,90,H2573,6.55,232.10526315789474
D8,1,10,100,H2573,6.55,232.10526315789474
D9,1,1,10,H2873,6.25,241.57894736842104
D9,1,2,20,H2873,6.25,241.57894736842104
D9,1,3,30,H2873,6.25,241.57894736842104
D9,1,4,40,H2873,6.25,241.57894736842104
D9,1,5,50,H2873,6.25,241.57894736842104
D9,1,6,60,H2873,6.25,241.57894736842104
D9,1,7,70,H2873,6.25,241.57894736842104
D9,1,8,80,H2873,6.25,241.57894736842104
D9,1,9,90,H2873,6.25,241.57894736842104
D9,1,10,100,H2873,6.25,241.57894736842104
D1,2,1,130,H2633,7.75,194.21052631578945
D1,2,3,150,H2633,7.75,194.21052631578945
D1,2,4,160,H2633,7.75,194.21052631578945
