dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
D1,1,11,110,H2447,S1
D1,1,0,0,S1,H2447
D2,1,11,110,H2849,S1
D2,1,0,0,S1,H2849
D3,1,11,110,H2465,S2
D3,1,0,0,S2,H2465
D4,1,0,0,S2,H2357
D4,1,11,110,H2357,S2
D5,1,0,0,S3,H2873
D5,1,11,110,H2873,S3
D6,1,0,0,S3,H2573
D6,1,11,110,H2573,S3
D1,2,11,230,H2849,S1
D1,2,3,150,S1,H2849
D2,2,10,220,H2447,S1
D2,2,0,120,S1,H2447
D3,2,11,230,H2669,S2
D3,2,1,130,S2,H2669
D4,2,1,130,S2,H2357
D4,2,11,230,H2357,S2
D5,2,1,130,S3,H2873
D5,2,11,230,H2873,S3
D6,2,1,130,S3,H2573
D6,2,11,230,H2573,S3
D1,3,0,240,S1,H2759
D1,3,2,260,H2759,H2555
D1,3,6,300,H2657,H2453
D1,3,4,280,H2555,H2657
D1,3,10,340,H2453,S1
D2,3,2,260,H2765,H2651
D2,3,6,300,H2855,H2753
D2,3,10,340,H2549,S1
D2,3,8,320,H2753,H2549
D2,3,4,280,H2651,H2855
D2,3,0,240,S1,H2765
D3,3,8,320,H2147,H2357
D3,3,2,260,H2261,H2369
D3,3,6,300,H2255,H2147
D3,3,10,340,H2357,S2
D3,3,4,280,H2369,H2255
D3,3,0,240,S2,H2261
D4,3,0,240,S2,H2153
D4,3,7,310,H2363,H2465
D4,3,5,290,H2141,H2363
D4,3,10,340,H2465,S2
D4,3,2,260,H2153,H2159
D4,3,4,280,H2159,H2141
D5,3,10,340,H2561,S3
D5,3,6,300,H2453,H2561
D5,3,2,260,H2867,S3
D5,3,5,290,H2351,H2453
D5,3,0,240,S3,H2867
D5,3,3,270,S3,H2351
D6,3,5,290,H2663,S3
D6,3,8,320,H2543,H2339
D6,3,10,340,H2339,S3
D6,3,0,240,S3,H2567
D6,3,2,260,H2567,H2663
D6,3,6,300,S3,H2543
D1,4,10,460,H2873,S1
D1,4,2,380,H2861,H2771
D1,4,4,400,H2771,H2873
D1,4,0,360,S1,H2861
D2,4,2,380,H2777,H2573
D2,4,5,410,H2573,H2459
D2,4,0,360,S1,H2777
D2,4,8,440,H2459,S1
D3,4,0,360,S2,H2747
D3,4,2,380,H2747,H2645
D3,4,4,400,H2645,H2849
D3,4,10,460,H2849,S2
D4,4,4,400,H2135,H2345
D4,4,0,360,S2,H2249
D4,4,10,460,H2447,S2
D4,4,2,380,H2249,H2135
