dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
D1,1,0,0,S1,H2633
D1,1,11,110,H2633,S1
D2,1,0,0,S1,H2741
D2,1,11,110,H2741,S1
D3,1,0,0,S1,H2537
D3,1,11,110,H2537,S1
D4,1,0,0,S2,H1931
D4,1,11,110,H1931,S2
D5,1,0,0,S2,H1937
D5,1,11,110,H1937,S2
D6,1,0,0,S2,H2033
D6,1,11,110,H2033,S2
D7,1,11,110,H2675,S3
D7,1,0,0,S3,H2675
D8,1,0,0,S3,H2573
D8,1,11,110,H2573,S3
D9,1,11,110,H2873,S3
D9,1,0,0,S3,H2873
D1,2,0,120,S1,H2633
D1,2,11,230,H2633,S1
D2,2,0,120,S1,H2537
D2,2,10,220,H2537,S1
D3,2,0,120,S1,H2741
D3,2,11,230,H2741,S1
D4,2,0,120,S2,H1937
D4,2,10,220,H1937,S2
D5,2,0,120,S2,H2033
D5,2,10,220,H2033,S2
D6,2,0,120,S2,H1931
D6,2,11,230,H1931,S2
D7,2,11,230,H2675,S3
D7,2,1,130,S3,H2675
D8,2,1,130,S3,H2573
D8,2,11,230,H2573,S3
D9,2,11,230,H2873,S3
D9,2,1,130,S3,H2873
D1,3,4,280,H2435,H2339
D1,3,0,240,S1,H2639
D1,3,3,270,H2639,H2435
D1,3,8,320,H2435,S1
D1,3,6,300,H2339,H2435
D2,3,0,240,S1,H2951
D2,3,8,320,H3059,H2855
D2,3,4,280,H2843,H2957
D2,3,2,260,H2951,H2843
D2,3,6,300,H2957,H3059
D2,3,10,340,H2855,S1
D3,3,4,280,H3047,H2849
D3,3,0,240,S1,H2945
D3,3,6,300,H2849,H3053
D3,3,2,260,H2945,H3047
D3,3,10,340,H3053,S1
D4,3,0,240,S2,H1955
D4,3,10,340,H2231,S2
D4,3,4,280,H2057,H2231
D4,3,2,260,H1955,H2057
D5,3,2,260,H1925,H2027
D5,3,0,240,S2,H1925
D5,3,8,320,H2171,H2261
D5,3,10,340,H2261,S2
D5,3,6,300,H2027,S2
D5,3,7,310,S2,H2171
D6,3,0,240,S2,H2669
D6,3,10,340,H2567,S2
D6,3,2,260,H2669,H2567
D7,3,2,260,H2465,H2363
D7,3,0,240,S3,H2465
D7,3,6,300,S3,H2579
D7,3,4,280,H2363,S3
D7,3,11,350,H2471,S3
D7,3,8,320,H2579,H2471
D8,3,0,240,S3,H2471
D8,3,6,300,H2273,H2381
D8,3,10,340,H2369,S3
D8,3,2,260,H2471,H2375
D8,3,4,280,H2375,H2273
D8,3,8,320,H2381,H2369
D9,3,6,300,H2993,H3089
D9,3,2,260,H2783,H2789
D9,3,10,340,H3089,S3
D9,3,4,280,H2789,H2993
D9,3,0,240,S3,H2783
D1,4,7,430,H2357,H2447
D1,4,10,460,H2447,S1
D1,4,0,360,S1,H2447
D1,4,2,380,H2447,H2357
D2,4,0,360,S1,H2759
D2,4,10,460,H2747,S1
D2,4,7,430,H2753,H2747
D2,4,3,390,H2759,H2651
D2,4,5,410,H2651,H2753
D3,4,4,400,H2129,H2237
D3,4,2,380,H2021,H2129
D3,4,10,460,H2345,S1
D3,4,8,440,H2351,H2345
D3,4,6,420,H2237,H2351
D3,4,0,360,S1,H2021
D4,4,0,360,S2,H1943
D4,4,6,420,H2063,H1949
D4,4,10,460,H1949,S2
D4,4,4,400,H1943,H2063
D5,4,0,360,S2,H2975
D5,4,3,390,H2975,H2969
D5,4,5,410,H2969,H2867
D5,4,11,470,H2867,S2
D6,4,3,390,H2153,H2141
D6,4,0,360,S2,H2153
D6,4,6,420,H2141,S2
D7,4,0,360,S3,H2981
D7,4,10,460,H2981,S3
D8,4,11,470,H2573,S3
D8,4,0,360,S3,H2765
D8,4,4,400,H2765,H2561
D8,4,9,450,H2663,H2573
D8,4,6,420,H2561,H2663
D9,4,10,460,H2657,S3
D9,4,0,360,S3,H3065
D9,4,7,430,H2771,H2657
D9,4,5,410,H2867,H2771
D9,4,3,390,H3065,H2867
D1,5,3,510,H2837,H2741
D1,5,0,480,S1,H2837
D1,5,6,540,H2741,S1
D2,5,11,590,H2429,S1
D2,5,3,510,H2531,H2543
D2,5,0,480,S1,H2531
D2,5,5,530,H2543,H2429
D3,5,3,510,H2555,H2549
D3,5,9,570,S2,H2243
D3,5,5,530,H2549,H2645
D3,5,7,550,H2645,S2
D3,5,11,590,H2243,S1
D3,5,0,480,S1,H2555
D4,5,3,510,H2051,H1955
D4,5,0,480,S2,H2051
D4,5,10,580,H1955,S2
D5,5,3,510,H2333,H2327
D5,5,8,560,H2225,H2441
D5,5,10,580,H2441,S2
D5,5,0,480,S2,H2333
D5,5,5,530,H2327,H2225
D6,5,3,510,H2147,H2255
D6,5,5,530,H2255,H2135
D6,5,0,480,S2,H2147
D6,5,10,580,H2249,S2
D6,5,7,550,H2135,H2249
D7,5,5,530,H2987,H2885
D7,5,2,500,H3077,H2987
D7,5,0,480,S3,H3077
D7,5,10,580,H2885,S3
D8,5,10,580,H2873,S3
D8,5,3,510,H3083,H2873
D8,5,0,480,S3,H3083
D9,5,10,580,H1931,S3
D9,5,0,480,S3,H2159
D9,5,3,510,H2159,H1931
D1,6,0,600,S1,H2537
D1,6,11,710,H2639,S1
D1,6,3,630,H2537,H2639
D2,6,2,620,H2165,H2171
D2,6,4,640,H2171,H2261
D2,6,0,600,S1,H2165
D2,6,10,700,H2363,S1
D2,6,6,660,H2261,H2363
D3,6,6,660,H2633,S1
D3,6,0,600,S1,H2735
D3,6,3,630,H2735,H2633
D4,6,5,650,H1961,H1937
D4,6,0,600,S2,H1961
D4,6,10,700,H1937,S2
D5,6,0,600,S2,H2939
D5,6,5,650,H2843,H3047
D5,6,3,630,H2939,H2843
D5,6,10,700,H3047,S2
