hex,risk,max_interval_dk,ziyaret_sayisi,ortalama_aralik_dk,ihlal_riski
H2135,3.85,334.2857142857143,3,480.0,VAR
H2141,3.85,334.2857142857143,3,480.0,VAR
H2147,4.3,308.57142857142856,4,360.0,VAR
H2153,5.65,231.4285714285714,5,288.0,VAR
H2159,5.65,231.4285714285714,17,84.70588235294117,YOK
H2165,4.3,308.57142857142856,9,160.0,YOK
H2237,3.85,334.2857142857143,3,480.0,VAR
H2243,3.85,334.2857142857143,3,480.0,VAR
H2249,4.3,308.57142857142856,5,288.0,YOK
H2255,4.75,282.85714285714283,6,240.0,YOK
H2261,5.35,248.57142857142858,5,288.0,VAR
H2339,5.05,265.7142857142857,10,144.0,YOK
H2345,3.85,334.2857142857143,3,480.0,VAR
H2351,4.75,282.85714285714283,5,288.0,VAR
H2357,5.8,222.85714285714286,38,37.89473684210526,YOK
H2363,5.35,248.57142857142858,8,180.0,YOK
H2369,5.35,248.57142857142858,5,288.0,VAR
H2441,4.3,308.57142857142856,8,180.0,YOK
H2447,5.8,222.85714285714286,42,34.285714285714285,YOK
H2453,4.45,300.0,5,288.0,YOK
H2459,3.4,360.0,6,240.0,YOK
H2465,5.8,222.85714285714286,20,72.0,YOK
H2543,4.3,308.57142857142856,4,360.0,VAR
H2549,4.3,308.57142857142856,4,360.0,VAR
H2555,4.9,274.2857142857142,5,288.0,VAR
H2561,4.45,300.0,6,240.0,YOK
H2567,5.35,248.57142857142858,7,205.71428571428572,YOK
H2573,6.55,180.0,48,30.0,YOK
H2645,3.85,334.2857142857143,3,480.0,VAR
H2651,5.2,257.1428571428571,8,180.0,YOK
H2657,4.75,282.85714285714283,4,360.0,VAR
H2663,4.9,274.2857142857142,7,205.71428571428572,YOK
H2669,5.8,222.85714285714286,17,84.70588235294117,YOK
H2747,4.6,291.42857142857144,4,360.0,VAR
H2753,4.9,274.2857142857142,5,288.0,VAR
H2759,5.35,248.57142857142858,5,288.0,VAR
H2765,5.35,248.57142857142858,12,120.0,YOK
H2771,4.3,308.57142857142856,4,360.0,VAR
H2777,4.3,308.57142857142856,4,360.0,VAR
H2849,5.8,222.85714285714286,34,42.35294117647059,YOK
H2855,4.9,274.2857142857142,7,205.71428571428572,YOK
H2861,4.15,317.1428571428571,4,360.0,VAR
H2867,5.35,248.57142857142858,6,240.0,YOK
H2873,6.25,197.14285714285714,34,42.35294117647059,YOK
