dron,blok,t_dilim_blok_ici,t_dakika_global,istasyon
D2,2,11,230,S1
D4,2,11,230,S2
D5,2,11,230,S2
D7,2,0,120,S3
D8,2,0,120,S3
D9,2,0,120,S3
D1,3,11,350,S1
D2,3,11,350,S1
D3,3,11,350,S1
D4,3,11,350,S2
D5,3,11,350,S2
D6,3,11,350,S2
D7,3,5,290,S3
D8,3,11,350,S3
D9,3,11,350,S3
D1,4,11,470,S1
D2,4,11,470,S1
D3,4,11,470,S1
D4,4,11,470,S2
D6,4,8,440,S2
D7,4,11,470,S3
D9,4,11,470,S3
D1,5,7,550,S1
D3,5,8,560,S2
D4,5,11,590,S2
D5,5,11,590,S2
D6,5,11,590,S2
D7,5,11,590,S3
D8,5,11,590,S3
D9,5,11,590,S3
D2,6,11,710,S1
D3,6,7,670,S1
D4,6,11,710,S2
D5,6,11,710,S2
D6,6,11,710,S2
D7,6,11,710,S3
D8,6,11,710,S3
D9,6,11,710,S3
D1,7,11,830,S1
D2,7,11,830,S1
D3,7,11,830,S1
D4,7,11,830,S2
D5,7,11,830,S2
D6,7,11,830,S2
D7,7,11,830,S3
D8,7,11,830,S3
D9,7,11,830,S3
D1,8,11,950,S1
D2,8,8,920,S1
D3,8,11,950,S1
D4,8,11,950,S2
D5,8,11,950,S2
D6,8,11,950,S2
D7,8,11,950,S3
D8,8,11,950,S3
D9,8,11,950,S3
D1,9,11,1070,S1
D2,9,11,1070,S1
D3,9,11,1070,S1
D4,9,11,1070,S2
D5,9,11,1070,S2
D6,9,11,1070,S2
D7,9,11,1070,S3
D8,9,11,1070,S3
D9,9,11,1070,S3
D1,10,5,1130,S2
D2,10,11,1190,S1
D3,10,11,1190,S1
D5,10,11,1190,S2
D6,10,11,1190,S2
D7,10,11,1190,S3
D8,10,11,1190,S3
D9,10,11,1190,S3
D1,11,9,1290,S1
D1,11,11,1310,S1
D2,11,6,1260,S1
D3,11,11,1310,S1
D4,11,11,1310,S2
D5,11,11,1310,S2
D6,11,9,1290,S2
D6,11,11,1310,S2
D7,11,11,1310,S3
D8,11,11,1310,S3
D9,11,11,1310,S3
D1,12,9,1410,S1
D1,12,11,1430,S1
D2,12,7,1390,S1
D2,12,9,1410,S1
D2,12,11,1430,S1
D3,12,7,1390,S1
D3,12,9,1410,S1
D3,12,11,1430,S1
D4,12,7,1390,S2
D4,12,9,1410,S2
D4,12,11,1430,S2
D5,12,7,1390,S2
D5,12,9,1410,S2
D5,12,11,1430,S2
D6,12,7,1390,S2
D6,12,9,1410,S2
D6,12,11,1430,S2
D7,12,7,1390,S3
D7,12,9,1410,S3
D7,12,11,1430,S3
D8,12,7,1390,S3
D8,12,9,1410,S3
D8,12,11,1430,S3
D9,12,7,1390,S3
D9,12,9,1410,S3
D9,12,11,1430,S3
